line.id	phenotype	sex
line_100	1.79	m
line_100	1.54	m
line_100	2.13	m
line_100	1.71	m
line_100	1.12	m
line_100	0.92	m
line_101	0.75	m
line_101	0.86	m
line_101	0.75	m
line_101	1.05	m
line_101	0.91	m
line_101	1.09	m
line_105	1.31	m
line_105	1.41	m
line_105	1.28	m
line_105	1.14	m
line_105	1.31	m
line_105	1.27	m
line_109	1.16	m
line_109	1.27	m
line_109	0.89	m
line_109	1.14	m
line_109	0.91	m
line_109	0.98	m
line_129	1.27	m
line_129	1.74	m
line_129	1.21	m
line_129	1.22	m
line_129	1.7	m
line_129	1.23	m
line_136	1.13	m
line_136	1.48	m
line_136	1.3	m
line_136	1.25	m
line_136	1.35	m
line_136	1.15	m
line_138	1	m
line_138	1	m
line_138	1	m
line_138	1.13	m
line_138	0.9	m
line_138	0.8	m
line_142	0.95	m
line_142	1.18	m
line_142	1.06	m
line_142	1.16	m
line_142	1.25	m
line_142	1.37	m
line_149	1.51	m
line_149	1.25	m
line_149	1.31	m
line_153	1.14	m
line_153	1.08	m
line_153	1.27	m
line_153	1.06	m
line_153	1.08	m
line_153	1.16	m
line_158	0.77	m
line_158	0.86	m
line_158	1.12	m
line_158	1.17	m
line_158	0.8	m
line_158	1.32	m
line_161	0.82	m
line_161	1.01	m
line_161	1.11	m
line_161	1	m
line_161	1	m
line_161	1.78	m
line_176	0.89	m
line_176	1.13	m
line_176	0.85	m
line_176	0.89	m
line_176	0.95	m
line_176	1.25	m
line_177	1.84	m
line_177	1.14	m
line_177	1.31	m
line_177	1.45	m
line_177	1.39	m
line_177	1.46	m
line_177	1.68	m
line_177	1.29	m
line_177	1.4	m
line_181	1.15	m
line_181	1.04	m
line_181	1.06	m
line_181	1.21	m
line_181	1.18	m
line_181	1.42	m
line_195	0.29	m
line_195	1	m
line_195	0.93	m
line_195	1.03	m
line_195	0.98	m
line_195	0.77	m
line_208	0.84	m
line_208	0.65	m
line_208	0.5	m
line_208	1.26	m
line_208	1.13	m
line_208	0.85	m
line_21	1.45	m
line_21	1.63	m
line_21	1.17	m
line_21	1.51	m
line_21	1.28	m
line_21	1.53	m
line_217	0.85	m
line_217	1.06	m
line_217	1.17	m
line_217	0.91	m
line_217	1.14	m
line_217	0.98	m
line_227	1.26	m
line_227	1.38	m
line_227	1.42	m
line_227	1.47	m
line_227	1.27	m
line_227	1.14	m
line_228	1.07	m
line_228	1.18	m
line_228	1.06	m
line_228	1.26	m
line_228	0.78	m
line_228	1.2	m
line_229	1.3	m
line_229	1.3	m
line_229	1.51	m
line_229	1.46	m
line_229	1.19	m
line_229	1.73	m
line_229	1.4	m
line_233	1.03	m
line_233	1.4	m
line_233	1.35	m
line_233	1.51	m
line_233	1.39	m
line_233	0.85	m
line_235	0.87	m
line_235	0.84	m
line_235	0.7	m
line_235	0.8	m
line_235	1.07	m
line_235	0.69	m
line_237	0.82	m
line_237	0.83	m
line_237	0.78	m
line_237	0.96	m
line_237	0.76	m
line_237	0.86	m
line_239	1.14	m
line_239	1.03	m
line_239	1.64	m
line_239	1.37	m
line_239	1.39	m
line_239	1.3	m
line_256	0.71	m
line_256	0.94	m
line_256	1.23	m
line_256	0.95	m
line_256	0.84	m
line_28	0.86	m
line_28	1.27	m
line_28	1.03	m
line_28	1.25	m
line_28	0.68	m
line_28	1.31	m
line_280	0.68	m
line_280	1.39	m
line_280	1.28	m
line_280	1.1	m
line_280	1.18	m
line_280	1.53	m
line_287	0.69	m
line_287	0.93	m
line_287	0.84	m
line_287	0.54	m
line_287	0.8	m
line_287	1.06	m
line_301	1.07	m
line_301	1.19	m
line_301	1.06	m
line_301	0.96	m
line_301	1.75	m
line_301	1.07	m
line_303	1.03	m
line_303	0.77	m
line_303	0.77	m
line_303	1.08	m
line_303	1.02	m
line_303	0.86	m
line_304	0.75	m
line_304	1.14	m
line_304	1.43	m
line_304	1.21	m
line_304	1.03	m
line_304	0.89	m
line_306	0.38	m
line_306	0.4	m
line_306	0.56	m
line_306	0.68	m
line_306	0.55	m
line_306	0.74	m
line_307	0.6	m
line_307	0.35	m
line_307	0.45	m
line_307	0.51	m
line_307	0.3	m
line_307	0.61	m
line_309	1.31	m
line_309	1.4	m
line_309	1.28	m
line_309	1.15	m
line_309	1.63	m
line_309	1.06	m
line_309	1.11	m
line_31	1.14	m
line_31	1.11	m
line_31	1.24	m
line_31	1.17	m
line_31	1.01	m
line_31	1.26	m
line_310	1.13	m
line_310	1.05	m
line_310	0.77	m
line_310	1.16	m
line_310	1.11	m
line_310	1.27	m
line_313	0.59	m
line_313	0.79	m
line_313	0.52	m
line_313	0.65	m
line_313	0.65	m
line_313	0.57	m
line_315	1.25	m
line_315	1.38	m
line_315	1.22	m
line_315	1.36	m
line_315	1.15	m
line_315	1.18	m
line_317	0.96	m
line_317	1.09	m
line_317	1.06	m
line_317	0.74	m
line_317	0.94	m
line_317	1.08	m
line_318	1.01	m
line_318	1.1	m
line_318	0.82	m
line_318	1.05	m
line_318	1.06	m
line_318	0.79	m
line_319	1.35	m
line_319	1.83	m
line_319	0.89	m
line_319	1.08	m
line_319	1.26	m
line_319	1.18	m
line_32	1.48	m
line_32	1.56	m
line_32	1.67	m
line_32	1.77	m
line_32	1.05	m
line_32	1.16	m
line_32	1.25	m
line_320	0.64	m
line_320	0.9	m
line_320	0.59	m
line_320	0.56	m
line_320	0.56	m
line_320	0.86	m
line_321	0.8	m
line_321	0.56	m
line_321	0.54	m
line_321	0.87	m
line_321	0.74	m
line_321	0.85	m
line_324	1.29	m
line_324	1.35	m
line_324	1.5	m
line_324	1.48	m
line_324	1.38	m
line_324	1.52	m
line_332	0.67	m
line_332	1.01	m
line_332	1.04	m
line_332	0.73	m
line_332	0.66	m
line_335	0.84	m
line_335	0.71	m
line_335	0.72	m
line_335	0.56	m
line_335	0.65	m
line_335	0.63	m
line_338	1.05	m
line_338	1.11	m
line_338	1.31	m
line_338	1.5	m
line_338	1.21	m
line_338	1.05	m
line_348	1.53	m
line_348	1.61	m
line_348	1.44	m
line_348	1.39	m
line_348	1.32	m
line_348	1.07	m
line_350	1.53	m
line_350	1.31	m
line_350	1.36	m
line_350	0.92	m
line_350	0.95	m
line_350	1.51	m
line_352	1.2	m
line_352	1.02	m
line_352	1.57	m
line_352	1.49	m
line_352	1.18	m
line_352	1.61	m
line_354	1.09	m
line_354	0.82	m
line_354	0.85	m
line_354	1.11	m
line_354	1.16	m
line_354	1.29	m
line_355	0.78	m
line_355	0.84	m
line_355	1.31	m
line_355	0.94	m
line_355	1.2	m
line_355	1.38	m
line_356	1.14	m
line_356	1.18	m
line_356	0.75	m
line_356	0.94	m
line_356	1.31	m
line_356	1.25	m
line_357	0.98	m
line_357	0.86	m
line_357	1.21	m
line_357	1.51	m
line_357	0.68	m
line_357	1.46	m
line_357	1.34	m
line_357	1.26	m
line_357	1.26	m
line_357	1.29	m
line_357	2.25	m
line_357	1.5	m
line_358	1.11	m
line_358	1.21	m
line_358	1.24	m
line_358	1.1	m
line_358	1.23	m
line_358	1.19	m
line_359	1.19	m
line_359	1.35	m
line_359	0.99	m
line_359	1.24	m
line_359	0.96	m
line_359	0.98	m
line_360	0.75	m
line_360	0.83	m
line_360	0.93	m
line_360	1.13	m
line_360	1.12	m
line_360	0.92	m
line_362	0.9	m
line_362	0.86	m
line_362	0.83	m
line_362	1.28	m
line_362	0.88	m
line_362	0.76	m
line_365	0.81	m
line_365	1.4	m
