line.id phenotype sex
line_857 0.267 f
line_857 0.296 f
line_857 0.345 f
line_857 0.399 f
line_857 0.337 f
line_318 0.225 f
line_318 0.218 f
line_318 0.224 f
line_318 0.197 f
line_318 0.251 f
line_900 0.262 f
line_900 0.245 f
line_900 0.214 f
line_900 0.257 f
line_439 0.291 f
line_439 0.348 f
line_439 0.35 f
line_439 0.285 f
line_439 0.204 f
line_818 0.395 f
line_818 0.323 f
line_818 0.335 f
line_818 0.324 f
line_818 0.305 f
line_509 0.265 f
line_509 0.355 f
line_509 0.312 f
line_509 0.279 f
line_509 0.316 f
line_822 0.27 f
line_822 0.259 f
line_822 0.308 f
line_822 0.255 f
line_822 0.241 f
line_861 0.243 f
line_861 0.252 f
line_861 0.268 f
line_861 0.251 f
line_861 0.23 f
line_819 0.229 f
line_819 0.267 f
line_819 0.202 f
line_819 0.207 f
line_819 0.252 f
line_377 0.21 f
line_377 0.335 f
line_377 0.344 f
line_377 0.262 f
line_377 0.345 f
line_57 0.19 f
line_57 0.232 f
line_57 0.172 f
line_57 0.203 f
line_57 0.169 f
line_385 0.169 f
line_385 0.238 f
line_385 0.213 f
line_385 0.236 f
line_385 0.208 f
line_359 0.304 f
line_359 0.377 f
line_359 0.282 f
line_359 0.231 f
line_359 0.34 f
line_373 0.243 f
line_373 0.285 f
line_373 0.344 f
line_373 0.307 f
line_373 0.295 f
line_712 0.241 f
line_712 0.246 f
line_712 0.219 f
line_712 0.278 f
line_712 0.212 f
line_437 0.302 f
line_437 0.355 f
line_437 0.357 f
line_437 0.228 f
line_437 0.302 f
line_502 0.315 f
line_502 0.197 f
line_502 0.184 f
line_502 0.164 f
line_502 0.224 f
line_427 0.323 f
line_427 0.4 f
line_427 0.373 f
line_427 0.336 f
line_427 0.411 f
line_584 0.258 f
line_584 0.26 f
line_584 0.197 f
line_584 0.202 f
line_584 0.146 f
line_852 0.301 f
line_852 0.271 f
line_852 0.255 f
line_852 0.259 f
line_852 0.293 f
line_189 0.292 f
line_189 0.253 f
line_189 0.27 f
line_189 0.24 f
line_189 0.267 f
line_820 0.242 f
line_820 0.175 f
line_820 0.236 f
line_820 0.202 f
line_820 0.239 f
line_530 0.257 f
line_530 0.275 f
line_530 0.226 f
line_530 0.226 f
line_530 0.234 f
line_796 0.271 f
line_796 0.292 f
line_796 0.226 f
line_796 0.236 f
line_796 0.23 f
line_161 0.3 f
line_161 0.314 f
line_161 0.309 f
line_161 0.363 f
line_161 0.255 f
line_235 0.21 f
line_235 0.227 f
line_235 0.183 f
line_235 0.211 f
line_235 0.195 f
line_426 0.306 f
line_426 0.391 f
line_426 0.401 f
line_426 0.373 f
line_426 0.371 f
line_535 0.367 f
line_535 0.214 f
line_535 0.307 f
line_535 0.281 f
line_535 0.312 f
line_837 0.284 f
line_837 0.219 f
line_837 0.197 f
line_837 0.293 f
line_837 0.183 f
line_776 0.263 f
line_776 0.335 f
line_776 0.268 f
line_776 0.246 f
line_776 0.2 f
line_256 0.314 f
line_256 0.272 f
line_256 0.237 f
line_256 0.285 f
line_256 0.269 f
line_508 0.186 f
line_508 0.151 f
line_508 0.254 f
line_508 0.181 f
line_508 0.264 f
line_386 0.175 f
line_386 0.257 f
line_386 0.221 f
line_386 0.22 f
line_386 0.269 f
line_340 0.193 f
line_340 0.272 f
line_340 0.334 f
line_340 0.306 f
line_340 0.3 f
line_217 0.255 f
line_217 0.29 f
line_217 0.328 f
line_217 0.273 f
line_217 0.295 f
line_370 0.213 f
line_370 0.205 f
line_370 0.25 f
line_370 0.179 f
line_370 0.223 f
line_367 0.242 f
line_367 0.358 f
line_367 0.307 f
line_367 0.262 f
line_367 0.276 f
line_177 0.334 f
line_177 0.33 f
line_177 0.311 f
line_177 0.343 f
line_177 0.321 f
line_361 0.238 f
line_361 0.276 f
line_361 0.294 f
line_361 0.265 f
line_361 0.2 f
line_208 0.26 f
line_208 0.2 f
line_208 0.212 f
line_208 0.241 f
line_208 0.184 f
line_595 0.3 f
line_595 0.314 f
line_595 0.265 f
line_595 0.284 f
line_595 0.257 f
line_380 0.318 f
line_380 0.314 f
line_380 0.223 f
line_380 0.209 f
line_380 0.196 f
line_732 0.26 f
line_732 0.31 f
line_732 0.269 f
line_732 0.24 f
line_732 0.289 f
line_313 0.208 f
line_313 0.195 f
line_313 0.193 f
line_313 0.23 f
line_313 0.241 f
line_307 0.339 f
line_307 0.375 f
line_307 0.356 f
line_307 0.388 f
line_307 0.302 f
line_908 0.2 f
line_908 0.223 f
line_908 0.239 f
line_908 0.244 f
line_908 0.215 f
line_383 0.276 f
line_383 0.242 f
line_383 0.314 f
line_383 0.251 f
line_383 0.282 f
line_517 0.255 f
line_517 0.322 f
line_517 0.19 f
line_517 0.244 f
line_517 0.188 f
line_93 0.304 f
line_93 0.274 f
line_93 0.32 f
line_93 0.316 f
line_93 0.293 f
line_528 0.272 f
line_528 0.26 f
line_528 0.268 f
line_528 0.25 f
line_528 0.286 f
line_315 0.344 f
line_315 0.347 f
line_315 0.39 f
line_315 0.272 f
line_315 0.344 f
line_405 0.251 f
line_405 0.24 f
line_405 0.29 f
line_405 0.251 f
line_405 0.276 f
line_26 0.247 f
line_26 0.363 f
line_26 0.239 f
line_26 0.225 f
line_26 0.303 f
line_882 0.278 f
line_882 0.256 f
line_882 0.208 f
line_882 0.178 f
line_882 0.232 f
line_531 0.282 f
line_531 0.24 f
line_531 0.301 f
line_531 0.261 f
line_531 0.224 f
line_850 0.199 f
line_850 0.226 f
line_850 0.256 f
line_850 0.228 f
line_850 0.233 f
line_350 0.264 f
line_350 0.311 f
line_350 0.398 f
line_350 0.343 f
line_350 0.303 f
line_237 0.297 f
line_237 0.294 f
line_237 0.281 f
line_237 0.335 f
